ebird_com_me,dir_exists,got_data,got_coverage,mapped_neighbors,got_draws,got_par_sums,made_trend_maps,got_indices,got_trends,prop_bad_rh,prop_bad_ess,trend_median,trend_q0.025,trend_q0.975,trend_median_10yr,trend_q0.025_10yr,trend_q0.975_10yr,ebird_sci_me,sum_success
Abert's Towhee,1,1,1,1,1,1,1,1,1,0,0,1.153758765,0.500904226,1.850922013,1.120218937,-0.759987609,3.092036451,Melozone_aberti,6
Acorn Woodpecker,1,1,1,1,1,1,1,1,1,0,0,2.021798259,1.695756513,2.318279165,4.519881812,3.5720293,5.47086121,Melanerpes_formicivorus,6
African Collared-Dove,1,1,1,0,0,0,0,0,0,,,,,,,,,Streptopelia_roseogrisea,2
Allen's Hummingbird,0,0,0,0,0,0,0,0,0,,,,,,,,,Selasphorus_sasin,0
Altamira Oriole,1,1,1,1,1,1,1,1,1,0,0,0.901246399,-0.270243815,2.041743044,3.512885641,-0.926086292,8.303675962,Icterus_gularis,6
American Black Duck,1,1,1,1,1,1,1,1,1,0,0,0.036315429,-0.831015803,1.197228473,0.6778824,-4.197296966,6.437766725,As_rubripes,6
American Avocet,1,1,1,1,1,1,1,1,1,0,0.004531722,2.319153919,0.093003451,6.302924593,1.89485266,-3.987053369,10.18828307,Recurvirostra_america,6
American Bittern,1,1,1,1,1,1,1,1,1,0,0,-2.229541291,-2.672755284,-1.791289642,-4.04088983,-5.641048188,-2.404127808,Botaurus_lentiginosus,6
American Crow,1,1,1,1,1,1,1,1,1,0,0,0.969236706,0.674798723,1.209282417,-0.014304486,-0.541225452,0.567975593,Corvus_brachyrhynchos,6
American Dipper,1,1,1,1,1,1,1,1,1,0,0,-0.061925731,-0.578542025,0.401063116,-1.46469667,-2.49186272,-0.569117154,Cinclus_mexicanus,6
American Goldfinch,1,1,1,1,1,1,1,1,1,0,0,-0.320983367,-0.499059863,-0.162720105,-3.560473033,-3.957844027,-3.163197252,Spinus_tristis,6
American Kestrel,1,1,1,1,1,1,1,1,1,0,0,0.031408063,-0.032035477,0.0959104,-0.836342578,-0.98549383,-0.688545941,Falco_sparverius,6
American Oystercatcher,1,1,1,1,1,1,1,1,1,0,0,-0.452483302,-1.69197828,0.729625648,-0.922711628,-3.995522756,2.299778547,Haematopus_palliatus,6
American Pipit,1,1,1,1,1,1,1,1,1,0,0,-1.703042317,-2.765154382,-0.802975613,-0.511730583,-2.9704597,2.624056059,Anthus_rubescens,6
American Redstart,1,1,1,1,1,1,1,1,1,0,0,1.432313196,0.641189594,2.195761479,9.027846435,5.897013479,12.34047759,Setophaga_ruticilla,6
American Robin,1,1,1,1,1,1,1,1,1,0,0,-0.698498843,-1.347611349,-0.120818634,-2.470911991,-3.997705358,-0.332926301,Turdus_migratorius,6
American Wigeon,1,1,1,1,1,1,1,1,1,0,0,-1.092793877,-2.660161736,-0.293496301,0.562476189,-1.315263629,2.391039472,Mareca_america,6
American Woodcock,1,1,1,1,1,1,1,1,1,0,0,-1.233155528,-1.683732127,-0.776391597,-1.666741847,-3.053655426,-0.438662025,Scolopax_minor,6
American Herring Gull,1,1,1,1,1,1,1,1,1,0,0,-1.200838579,-1.762928829,-0.648356343,-1.322628876,-2.572045696,0.717157433,Larus_smithsonianus,6
American Tree Sparrow,1,1,1,1,1,1,1,1,1,0,0,-2.159910819,-2.39290572,-1.931848153,-2.390202509,-3.249481162,-2.022995211,Spizelloides_arborea,6
American White Pelican,1,1,1,1,1,1,1,1,1,0,0,6.926116847,4.28897762,9.592627954,2.94529146,-3.946590809,7.619749732,Pelecanus_erythrorhynchos,6
