ebird_com_name
American Barn Owl
American Herring Gull
American or Pacific Golden-Plover (Lesser Golden-Plover)
American Robin
Arctic or Pacific Loon
Band-tailed Pigeon
Black Rail
Bronzed Cowbird
Cackling or Canada Goose
Carolina Wren
Common or Wilson's Snipe
Fox Sparrow
Great Blue Heron
Green-winged Teal
Monk Parakeet
Montezuma Quail
Nelson's or Saltmarsh Sparrow (Sharp-tailed Sparrow)
Northern Flicker
Northern Fulmar
Northern House Wren
Northern Rough-winged Swallow
Red-crowned Amazon
Redpoll
Savannah Sparrow
Short-tailed Shearwater
Spotted Towhee
Spruce Grouse
Tropical or Couch's Kingbird
Western Cattle-Egret
Western Flycatcher
Western or Clark's Grebe
Yellow-rumped Warbler
