"","ebird_spp_code","ebird_com_name","ebird_sci_name","total_counted","historic_cbc_com_name","lon_filter","lat_filter","prov_state_filter","bcr_filter","add_nocturnal","add_feeder","nb","ni","na","nt","min_detect_per_circ","min_non_zero_count","min_detect_ratio","min_individuals"
"1","abetow","Abert's Towhee","Melozone aberti",123331,"Aberts Towhee","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,27
"2","acowoo","Acorn Woodpecker","Melanerpes formicivorus",648936,"Acorn Woodpecker,Acorn Woodpecker (Acorn)","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"3","afcdov1","African Collared-Dove","Streptopelia roseogrisea",5995,"African Collared-Dove,African Collared-Dove (Domestic type or Ringed Turtle-Dove)","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,20,3,3,3,27
"4","allhum","Allen's Hummingbird","Selasphorus sasin",64137,"Allens Hummingbird","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,5,3,3,3,27
"5","altori","Altamira Oriole","Icterus gularis",3083,"Altamira Oriole","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,10,3,3,3,27
"6","ambduc","American Black Duck","Anas rubripes",8232976,"American Black Duck","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"7","ameavo","American Avocet","Recurvirostra americana",1454466,"American Avocet","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"8","amebit","American Bittern","Botaurus lentiginosus",21256,"American Bittern","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"9","amecro","American Crow","Corvus brachyrhynchos",58065580,"American Crow,American/Northwestern Crow,Northwestern Crow","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"10","amedip","American Dipper","Cinclus mexicanus",61065,"American Dipper","-50,-180","90,20","!ZZ","!ZZ",0,0,10000,10000,5000,1,3,3,3,27
"11","amegfi","American Goldfinch","Spinus tristis",11615312,"American Goldfinch","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"12","amekes","American Kestrel","Falco sparverius",1511444,"American Kestrel,American Kestrel (Northern),American Kestrel (Southeastern)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"13","ameoys","American Oystercatcher","Haematopus palliatus",204251,"American Oystercatcher","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,5000,1,3,3,3,27
"14","amepip","American Pipit","Anthus rubescens",2519430,"American Pipit,American Pipit (japonicus),American Pipit (rubescens/pacificus)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
"15","amered","American Redstart","Setophaga ruticilla",4299,"American Redstart","-50,-180","90,20","!ZZ","!ZZ",0,0,20000,10000,10000,3,3,3,3,27
"16","amerob","American Robin","Turdus migratorius",72298475,"American Robin,American Robin (migratorius Group),American Robin (nigrideus)","-50,-180","90,20","!ZZ","!ZZ",0,0,5000,10000,5000,1,3,3,3,27
