english_name,species_code,suitability
Red-throated Loon,retloo,Low
Black Oystercatcher,blkoys,Medium
Black Oystercatcher,blkoys,Medium
Black Turnstone,blktur,Medium
Surfbird,surfbi,Low
Rock Sandpiper,rocsan,Low
Rock Sandpiper,rocsan,Low
Pigeon Guillemot,piggui,Medium
Pigeon Guillemot,piggui,Low
Barn Owl,brnowl,Medium
Barn Owl,brnowl,Low
Hutton's Vireo,hutvir,Medium
Bushtit,bushti,Medium
Pygmy Nuthatch,pygnut,Low
Pine Grosbeak,pingro,Medium
Harlequin Duck,harduc,Medium
Harlequin Duck,harduc,Medium
Surf Scoter,sursco,Medium
Surf Scoter,sursco,Medium
Black Scoter,blksco2,Medium
Black Scoter,blksco2,Medium
Common Goldeneye,comgol,Medium
Barrow's Goldeneye,bargol,Medium
Yellow-billed Loon,yebloo,Low
Yellow-billed Loon,yebloo,Low
Great Blue Heron,grbher3,Medium
Heermann's Gull,heegul,Low
Heermann's Gull,heegul,Low
Western Screech-Owl,wesowl1,Low
Western Screech-Owl,wesowl1,Low
Pine Grosbeak,pingro,Medium
White-winged Scoter,whwsco2,Medium
White-winged Scoter,whwsco2,Medium
Barrow's Goldeneye,bargol,Low
Pine Grosbeak,pingro,Medium
Western Screech-Owl,wesowl1,Low
Western Screech-Owl,wesowl1,Low
Pine Grosbeak,pingro,Medium
Pine Grosbeak,pingro,Medium
Pine Grosbeak,pingro,Medium
Black Vulture,blkvul,Medium
Black Vulture,blkvul,Medium
Fish Crow,fiscro,Medium
Fish Crow,fiscro,Low
Pine Grosbeak,pingro,Medium
Harlequin Duck,harduc,Medium
Harlequin Duck,harduc,Low
Barrow's Goldeneye,bargol,Low
Pine Grosbeak,pingro,Medium
Mute Swan,mutswa,Medium
Mute Swan,mutswa,Low
Eurasian Wigeon,eurwig,Medium
Eurasian Wigeon,eurwig,Low
Chukar,chukar,Medium
Gray Partridge,grypar,Medium
Ruffed Grouse,rufgro,Medium
Spruce Grouse,sprgro,Low
Spruce Grouse,sprgro,Low
Willow Ptarmigan,wilpta,Low
Willow Ptarmigan,wilpta,Low
Dusky Grouse,dusgro,Medium
Dusky Grouse,dusgro,Low
Sooty Grouse,soogro1,Medium
Sharp-tailed Grouse,shtgro,Medium
Wild Turkey,wiltur,Medium
California Quail,calqua,Medium
Northern Bobwhite,norbob,Medium
Red-throated Loon,retloo,Low
Pacific Loon,pacloo,Low
Pacific Loon,pacloo,Low
Yellow-billed Loon,yebloo,Low
Yellow-billed Loon,yebloo,Low
Brandt's Cormorant,bracor,Medium
Brandt's Cormorant,bracor,Low
Great Cormorant,grecor,Low
Pelagic Cormorant,pelcor,Medium
Pelagic Cormorant,pelcor,Medium
Lesser Black-backed Gull,lbbgul,Medium
Lesser Black-backed Gull,lbbgul,Low
Western Gull,wesgul,Medium
Western Gull,wesgul,Low
Glaucous-winged Gull,glwgul,Medium
Dovekie,doveki,Low
Pigeon Guillemot,piggui,Low
Pigeon Guillemot,piggui,Low
Marbled Murrelet,marmur,Low
Marbled Murrelet,marmur,Low
